Sex,Race,Age,Age Group,Education,Work Class,Occupation,Marital Status,Relationship,Income
Male,White,61,60s,HS-grad,Self-emp-not-inc,Farming-fishing,Married,Husband,<=50K
Male,White,65,60s,HS-grad,Self-emp-inc,Farming-fishing,Married,Husband,<=50K
Female,White,46,40s,<HS,Private,Craft-repair,Divorced,Not-in-family,<=50K
Male,White,26,20s,Bachelors,Local-gov,Prof-specialty,Never-married,Not-in-family,<=50K
Male,White,59,50s,HS-grad,Local-gov,Farming-fishing,Widowed,Unmarried,<=50K
Male,Black,61,60s,<HS,Private,Handlers-cleaners,Never-married,Not-in-family,<=50K
Female,White,60,60s,Bachelors,State-gov,Prof-specialty,Divorced,Not-in-family,<=50K
Male,White,49,40s,Some-college,Self-emp-inc,Exec-managerial,Divorced,Not-in-family,<=50K
Male,Asian-Pac-Islander,34,30s,Bachelors,Private,Machine-op-inspct,Married,Not-in-family,<=50K
Female,White,25,20s,Bachelors,Private,Prof-specialty,Never-married,Own-child,<=50K
Female,Black,55,50s,Some-college,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Female,Black,59,50s,HS-grad,Local-gov,Protective-serv,Separated,Other-relative,<=50K
Male,White,28,20s,Some-college,State-gov,Exec-managerial,Separated,Own-child,<=50K
Female,White,56,50s,Masters,Self-emp-not-inc,Sales,Divorced,Unmarried,<=50K
Male,White,41,40s,HS-grad,Private,Craft-repair,Divorced,Not-in-family,<=50K
Female,Black,42,40s,HS-grad,Private,Adm-clerical,Never-married,Other-relative,<=50K
Male,White,28,20s,Prof-school,Private,Prof-specialty,Never-married,Not-in-family,<=50K
Female,White,40,40s,Prof-school,Self-emp-not-inc,Other-service,Divorced,Not-in-family,<=50K
Male,White,69,60s,Bachelors,Private,Prof-specialty,Widowed,Not-in-family,>50K
Male,White,66,60s,HS-grad,Local-gov,Craft-repair,Married,Husband,<=50K
Male,White,69,60s,<HS,Private,Machine-op-inspct,Married,Husband,<=50K
Female,White,55,50s,Masters,Local-gov,Prof-specialty,Married,Wife,<=50K
Male,White,57,50s,HS-grad,Federal-gov,Adm-clerical,Never-married,Not-in-family,<=50K
Male,White,20,20s,Some-college,Self-emp-not-inc,Farming-fishing,Never-married,Own-child,<=50K
Male,White,33,30s,HS-grad,Private,Craft-repair,Divorced,Not-in-family,<=50K
Male,Asian-Pac-Islander,30,30s,Some-college,Self-emp-not-inc,Sales,Never-married,Other-relative,<=50K
Female,Asian-Pac-Islander,40,40s,Bachelors,Private,Tech-support,Never-married,Not-in-family,<=50K
Male,White,38,30s,Some-college,Private,Machine-op-inspct,Separated,Not-in-family,>50K
Male,White,46,40s,Associate,State-gov,Adm-clerical,Divorced,Unmarried,>50K
Female,White,29,20s,Bachelors,Private,Exec-managerial,Never-married,Not-in-family,>50K
Male,White,57,50s,Bachelors,Federal-gov,Adm-clerical,Never-married,Not-in-family,<=50K
Male,White,39,30s,HS-grad,Private,Craft-repair,Never-married,Own-child,>50K
Male,White,47,40s,Bachelors,Private,Exec-managerial,Divorced,Not-in-family,>50K
Male,White,26,20s,Bachelors,Private,Exec-managerial,Never-married,Not-in-family,>50K
Male,White,27,20s,HS-grad,Self-emp-not-inc,Craft-repair,Never-married,Not-in-family,<=50K
Female,White,23,20s,Bachelors,Private,Prof-specialty,Never-married,Own-child,>50K
Male,White,34,30s,Masters,Private,Prof-specialty,Never-married,Not-in-family,<=50K
Male,White,33,30s,<HS,Private,Craft-repair,Divorced,Not-in-family,<=50K
Female,White,38,30s,Masters,Local-gov,Prof-specialty,Never-married,Not-in-family,<=50K
Female,White,57,50s,Some-college,Private,Adm-clerical,Widowed,Unmarried,>50K
Male,White,36,30s,HS-grad,Private,Exec-managerial,Never-married,Not-in-family,<=50K
Male,White,44,40s,Bachelors,Federal-gov,Tech-support,Divorced,Not-in-family,>50K
Female,White,49,40s,Doctorate,State-gov,Exec-managerial,Never-married,Not-in-family,>50K
Male,White,44,40s,Some-college,Self-emp-inc,Sales,Never-married,Not-in-family,<=50K
Male,White,55,50s,Some-college,Private,Farming-fishing,Widowed,Not-in-family,>50K
Male,White,45,40s,HS-grad,Private,Farming-fishing,Divorced,Not-in-family,>50K
Female,White,48,40s,HS-grad,Private,Exec-managerial,Divorced,Not-in-family,>50K
Male,White,31,30s,Bachelors,Private,Exec-managerial,Married,Husband,>50K
Female,White,55,50s,HS-grad,Local-gov,Prof-specialty,Married,Other-relative,>50K
Male,White,70,70s,Some-college,Self-emp-not-inc,Exec-managerial,Married,Husband,>50K
Male,White,70,70s,Masters,Self-emp-not-inc,Exec-managerial,Married,Husband,>50K
Male,White,73,70s,Bachelors,Private,Prof-specialty,Married,Husband,>50K
Male,White,72,70s,Prof-school,Self-emp-not-inc,Prof-specialty,Married,Husband,>50K
Female,White,31,30s,HS-grad,Private,Machine-op-inspct,Separated,Unmarried,<=50K
Female,White,28,20s,<HS,Private,Adm-clerical,Widowed,Unmarried,<=50K
Male,White,23,20s,Bachelors,Self-emp-not-inc,Adm-clerical,Never-married,Own-child,>50K
Male,White,49,40s,<HS,Local-gov,Handlers-cleaners,Widowed,Unmarried,>50K
Male,White,27,20s,Some-college,Local-gov,Protective-serv,Never-married,Not-in-family,>50K
Male,Black,90,80s+,HS-grad,Private,Other-service,Never-married,Not-in-family,<=50K
Female,White,68,60s,HS-grad,Private,Adm-clerical,Widowed,Not-in-family,<=50K
Female,White,65,60s,HS-grad,Private,Adm-clerical,Divorced,Unmarried,<=50K
Female,White,67,60s,Bachelors,Private,Exec-managerial,Divorced,Not-in-family,<=50K
Female,Black,66,60s,Bachelors,Local-gov,Prof-specialty,Widowed,Not-in-family,<=50K
Male,White,24,20s,Some-college,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Male,White,44,40s,Some-college,Self-emp-not-inc,Machine-op-inspct,Divorced,Not-in-family,<=50K
Female,White,35,30s,Some-college,Private,Adm-clerical,Never-married,Own-child,<=50K
Female,White,20,20s,Associate,Private,Other-service,Never-married,Own-child,<=50K
Male,White,38,30s,HS-grad,Private,Craft-repair,Divorced,Not-in-family,<=50K
Female,Black,39,30s,Some-college,Private,Other-service,Never-married,Own-child,<=50K
Female,White,32,30s,Some-college,Private,Machine-op-inspct,Never-married,Other-relative,<=50K
Male,Black,42,40s,<HS,Private,Handlers-cleaners,Never-married,Not-in-family,<=50K
Male,Asian-Pac-Islander,42,40s,Masters,Self-emp-inc,Exec-managerial,Divorced,Unmarried,>50K
Male,White,64,60s,<HS,Private,Craft-repair,Married,Husband,<=50K
Male,Other,28,20s,<HS,Private,Handlers-cleaners,Married,Husband,<=50K
Male,Other,41,40s,Associate,Self-emp-inc,Sales,Married,Husband,<=50K
Male,White,41,40s,<HS,Self-emp-not-inc,Craft-repair,Married,Husband,<=50K
Male,White,58,50s,<HS,Self-emp-not-inc,Transport-moving,Married,Husband,<=50K
Male,White,59,50s,Some-college,State-gov,Exec-managerial,Married,Husband,<=50K
Female,White,34,30s,HS-grad,Self-emp-not-inc,Farming-fishing,Married,Wife,<=50K
Male,White,45,40s,HS-grad,Private,Transport-moving,Married,Husband,<=50K
Female,White,29,20s,HS-grad,Private,Adm-clerical,Married,Wife,<=50K
Male,White,47,40s,<HS,Private,Sales,Married,Husband,<=50K
Male,White,40,40s,Some-college,Private,Machine-op-inspct,Married,Husband,<=50K
Male,White,47,40s,<HS,Self-emp-not-inc,Sales,Married,Husband,<=50K
Male,White,41,40s,HS-grad,Self-emp-not-inc,Handlers-cleaners,Married,Husband,<=50K
Male,Black,34,30s,Some-college,Private,Transport-moving,Married,Husband,<=50K
Male,White,65,60s,Some-college,Self-emp-not-inc,Exec-managerial,Married,Husband,>50K
Male,White,70,70s,HS-grad,Private,Handlers-cleaners,Married,Husband,>50K
Male,White,75,70s,Prof-school,Self-emp-not-inc,Prof-specialty,Married,Husband,>50K
Male,White,65,60s,HS-grad,State-gov,Adm-clerical,Married,Husband,>50K
Male,Black,65,60s,Some-college,Federal-gov,Exec-managerial,Married,Husband,>50K
Male,White,73,70s,Some-college,Private,Prof-specialty,Married,Husband,>50K
Male,White,68,60s,Associate,Self-emp-not-inc,Prof-specialty,Married,Husband,<=50K
Male,White,74,70s,HS-grad,Self-emp-not-inc,Sales,Married,Husband,<=50K
Female,Asian-Pac-Islander,43,40s,<HS,Private,Machine-op-inspct,Married,Wife,<=50K
Male,White,19,<20,<HS,Self-emp-not-inc,Craft-repair,Married,Own-child,<=50K
Male,White,37,30s,HS-grad,Self-emp-not-inc,Craft-repair,Married,Husband,<=50K
Male,Asian-Pac-Islander,45,40s,Associate,Federal-gov,Adm-clerical,Divorced,Unmarried,<=50K
Male,Asian-Pac-Islander,64,60s,Masters,Private,Prof-specialty,Married,Husband,<=50K
Male,White,30,30s,HS-grad,Private,Transport-moving,Married,Husband,<=50K
Female,White,51,50s,Some-college,Self-emp-not-inc,Prof-specialty,Married,Wife,<=50K
Male,White,35,30s,<HS,Private,Craft-repair,Married,Husband,<=50K
Female,White,29,20s,HS-grad,Private,Adm-clerical,Married,Wife,<=50K
Female,White,34,30s,Some-college,Private,Adm-clerical,Married,Wife,<=50K
Male,White,41,40s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,35,30s,Some-college,Private,Craft-repair,Married,Husband,<=50K
Male,White,26,20s,Some-college,Private,Adm-clerical,Married,Husband,<=50K
Male,White,54,50s,HS-grad,Private,Transport-moving,Married,Husband,<=50K
Male,White,52,50s,HS-grad,Local-gov,Craft-repair,Married,Husband,<=50K
Male,White,50,50s,HS-grad,Self-emp-not-inc,Farming-fishing,Married,Husband,<=50K
Male,White,31,30s,Some-college,Private,Adm-clerical,Married,Husband,<=50K
Male,White,38,30s,HS-grad,Federal-gov,Transport-moving,Married,Husband,<=50K
Male,White,30,30s,Some-college,Private,Craft-repair,Married,Husband,<=50K
Male,White,34,30s,Bachelors,Local-gov,Prof-specialty,Married,Husband,<=50K
Male,White,31,30s,Some-college,Private,Sales,Married,Husband,<=50K
Male,White,52,50s,HS-grad,Private,Machine-op-inspct,Married,Husband,<=50K
Male,White,54,50s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,38,30s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,39,30s,HS-grad,Private,Machine-op-inspct,Married,Husband,<=50K
Male,White,29,20s,Associate,Private,Tech-support,Married,Husband,<=50K
Male,White,45,40s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,34,30s,HS-grad,Private,Transport-moving,Married,Husband,<=50K
Male,White,38,30s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,39,30s,<HS,Private,Craft-repair,Married,Husband,<=50K
Male,White,61,60s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,43,40s,<HS,Private,Transport-moving,Married,Husband,<=50K
Male,White,35,30s,Some-college,Private,Handlers-cleaners,Married,Husband,<=50K
Male,White,46,40s,Some-college,Private,Sales,Married,Husband,<=50K
Male,White,38,30s,HS-grad,Private,Handlers-cleaners,Married,Husband,<=50K
Male,White,42,40s,HS-grad,Self-emp-not-inc,Craft-repair,Married,Husband,<=50K
Male,White,34,30s,Associate,Private,Tech-support,Married,Husband,<=50K
Male,White,29,20s,<HS,Private,Farming-fishing,Married,Husband,<=50K
Male,White,32,30s,<HS,Private,Craft-repair,Married,Husband,<=50K
Male,White,60,60s,HS-grad,Private,Protective-serv,Married,Husband,<=50K
Male,White,49,40s,HS-grad,Local-gov,Craft-repair,Married,Husband,<=50K
Male,White,53,50s,HS-grad,Local-gov,Other-service,Married,Husband,<=50K
Male,White,56,50s,<HS,Private,Handlers-cleaners,Married,Husband,<=50K
Male,White,48,40s,<HS,Private,Transport-moving,Married,Husband,<=50K
Male,Asian-Pac-Islander,32,30s,Bachelors,Federal-gov,Prof-specialty,Married,Husband,<=50K
Male,White,42,40s,HS-grad,Self-emp-not-inc,Craft-repair,Married,Husband,<=50K
Male,White,32,30s,Associate,Private,Prof-specialty,Married,Husband,<=50K
Male,White,28,20s,Associate,Local-gov,Protective-serv,Married,Husband,<=50K
Male,White,26,20s,Associate,Private,Craft-repair,Married,Husband,<=50K
Male,White,59,50s,Bachelors,Private,Exec-managerial,Married,Husband,<=50K
Male,White,47,40s,Bachelors,Self-emp-not-inc,Prof-specialty,Married,Husband,<=50K
Male,White,41,40s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Female,White,36,30s,HS-grad,Private,Craft-repair,Married,Own-child,<=50K
Male,White,45,40s,Bachelors,Private,Sales,Married,Husband,<=50K
Male,White,30,30s,Associate,Private,Prof-specialty,Married,Husband,<=50K
Male,White,36,30s,HS-grad,Private,Transport-moving,Married,Husband,<=50K
Male,White,34,30s,HS-grad,Self-emp-inc,Exec-managerial,Married,Husband,<=50K
Male,White,53,50s,HS-grad,Private,Transport-moving,Married,Husband,<=50K
Male,White,51,50s,HS-grad,Private,Sales,Married,Husband,<=50K
Male,White,47,40s,Doctorate,Self-emp-not-inc,Transport-moving,Married,Husband,<=50K
Male,White,30,30s,HS-grad,Private,Adm-clerical,Never-married,Unmarried,<=50K
Male,White,20,20s,HS-grad,Private,Other-service,Never-married,Unmarried,<=50K
Male,White,42,40s,Masters,Federal-gov,Adm-clerical,Divorced,Not-in-family,<=50K
Male,White,31,30s,<HS,Private,Craft-repair,Never-married,Not-in-family,<=50K
Male,White,33,30s,Bachelors,Private,Handlers-cleaners,Never-married,Not-in-family,<=50K
Female,White,25,20s,Associate,Private,Tech-support,Never-married,Not-in-family,<=50K
Male,White,20,20s,HS-grad,Private,Other-service,Never-married,Not-in-family,<=50K
Male,Black,23,20s,HS-grad,Private,Adm-clerical,Never-married,Own-child,<=50K
Male,White,41,40s,Some-college,Self-emp-not-inc,Craft-repair,Divorced,Not-in-family,<=50K
Male,White,54,50s,HS-grad,Self-emp-not-inc,Craft-repair,Widowed,Not-in-family,<=50K
Male,White,25,20s,HS-grad,Private,Craft-repair,Never-married,Not-in-family,<=50K
Female,White,19,<20,Some-college,Private,Adm-clerical,Never-married,Own-child,<=50K
Female,White,24,20s,HS-grad,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Male,Black,56,50s,Bachelors,Federal-gov,Transport-moving,Never-married,Not-in-family,<=50K
Female,White,21,20s,Some-college,Local-gov,Other-service,Never-married,Not-in-family,<=50K
Male,Black,34,30s,HS-grad,Private,Machine-op-inspct,Never-married,Not-in-family,<=50K
Male,White,19,<20,HS-grad,Private,Adm-clerical,Never-married,Own-child,<=50K
Female,White,48,40s,HS-grad,Private,Adm-clerical,Separated,Not-in-family,<=50K
Male,White,34,30s,Bachelors,Private,Other-service,Never-married,Not-in-family,<=50K
Male,White,31,30s,HS-grad,Private,Farming-fishing,Never-married,Not-in-family,<=50K
Female,Black,36,30s,HS-grad,Private,Other-service,Never-married,Not-in-family,<=50K
Male,White,27,20s,HS-grad,Private,Other-service,Never-married,Not-in-family,<=50K
Male,Asian-Pac-Islander,27,20s,Some-college,Private,Craft-repair,Never-married,Own-child,<=50K
Female,White,35,30s,Bachelors,Private,Sales,Divorced,Not-in-family,<=50K
Male,White,31,30s,Bachelors,Self-emp-not-inc,Exec-managerial,Married,Not-in-family,<=50K
Male,Black,27,20s,HS-grad,Federal-gov,Craft-repair,Never-married,Not-in-family,<=50K
Female,White,28,20s,Associate,Local-gov,Adm-clerical,Never-married,Not-in-family,<=50K
Male,White,42,40s,HS-grad,Private,Transport-moving,Divorced,Not-in-family,<=50K
Male,White,44,40s,Some-college,Private,Exec-managerial,Separated,Not-in-family,<=50K
Male,White,41,40s,Bachelors,Private,Sales,Divorced,Not-in-family,<=50K
Female,White,28,20s,Bachelors,Private,Tech-support,Never-married,Not-in-family,<=50K
Female,White,41,40s,HS-grad,Federal-gov,Adm-clerical,Never-married,Not-in-family,<=50K
Female,Black,35,30s,<HS,Private,Other-service,Widowed,Not-in-family,<=50K
Female,White,58,50s,Masters,Private,Adm-clerical,Divorced,Not-in-family,<=50K
Male,White,40,40s,HS-grad,Private,Machine-op-inspct,Divorced,Not-in-family,<=50K
Male,White,31,30s,Associate,Private,Transport-moving,Never-married,Own-child,<=50K
Female,White,30,30s,HS-grad,Private,Sales,Never-married,Not-in-family,<=50K
Male,Amer-Indian-Eskimo,32,30s,Some-college,Private,Tech-support,Separated,Not-in-family,<=50K
Male,White,25,20s,Some-college,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Male,White,34,30s,HS-grad,Private,Transport-moving,Never-married,Own-child,<=50K
Female,White,56,50s,Some-college,Private,Exec-managerial,Divorced,Not-in-family,<=50K
Male,White,45,40s,HS-grad,Private,Other-service,Divorced,Not-in-family,<=50K
Male,White,50,50s,HS-grad,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Male,White,27,20s,<HS,Private,Sales,Never-married,Other-relative,<=50K
Male,White,51,50s,Some-college,Private,Sales,Married,Husband,>50K
Male,White,40,40s,Associate,Private,Tech-support,Married,Husband,>50K
Male,White,41,40s,Masters,Private,Exec-managerial,Married,Husband,>50K
Male,White,49,40s,Masters,Private,Exec-managerial,Married,Husband,>50K
